pn,name,address,city,state,zip,tel,active,termcode,termdate,partdate,prev_pn,medaffil,resprog_ada,resprog_ama,resprog_aoa,resprog_oth,residents,shortterm,cah,provider_subtype,typ_control,nonprofit,forprofit,govt,maryland,nonstate,urbancbsa,beds_tot,beds_cert,firstyear
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1600 EAST MAIN STREET,DOTHAN,AL,36301,2057938050,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,400,400,1993
010004,NORTH JACKSON HOSPITAL,RT 1 BOX 88,BRIDGEPORT,AL,35740,2054372101,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,64,64,1993
010005,BOAZ ALBERTVILLE MEDICAL CENTER,HIGHWAY 431 NORTH,BOAZ,AL,35957,2055938310,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,150,150,1993
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO ST P O BOX 818,FLORENCE,AL,35631,2057679191,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,372,372,1993
010007,MIZELL MEMORIAL HOSPITAL,702 MAIN ST,OPP,AL,36467,2054933541,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,99,99,1993
010008,CRENSHAW COUNTY HOSPITAL,SOUTH FOREST AVENUE P O BOX 432,LUVERNE,AL,36049,2053353374,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,65,65,1993
010009,HARTSELLE MEDICAL CENTER,300 WEST PINE STREET,HARTSELLE,AL,35640,2057736511,1,active,,30jun1969,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,150,150,1993
010010,GUNTERSVILLE-ARAB MEDICAL CENTER,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,2055718000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,90,90,1993
010011,MEDICAL CENTER EAST INC,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,2058383000,1,active,,27aug1969,,limited,0,1,0,1,16,1,0,short term,non-profit private,1,0,0,0,0,,282,282,1993
010012,BAPTIST MEDICAL CENTER DEKALB,200 MED CENTER DR P O BOX 778,FORT PAYNE,AL,35967,2058453150,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,134,134,1993
010015,THOMASVILLE HOSPITAL,1440 HIGHWAY 43 NORTH,THOMASVILLE,AL,36784,2056364431,1,active,,17feb1981,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,49,49,1993
010016,SHELBY MED CNTR & EXTENDED CARE UNIT,P O BOX 488,ALABASTER,AL,35007,2056208100,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,192,192,1993
010017,FAIRVIEW MEDICAL CTR,2048 W FAIRVIEW AVE,MONTGOMERY,AL,36108,2052657011,0,"vol-merg,close",24dec1985,05apr1972,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,168,168,1993
010018,EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,2053258100,1,active,,01jul1966,,major,0,1,0,0,14,1,0,short term,non-profit other,1,0,0,0,0,,106,106,1993
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVE P O BOX 610,SHEFFIELD,AL,35660,2053864556,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,185,185,1993
010020,PIEDMONT HOSPITAL,612 CALHOUN STREET P O BOX 330,PIEDMONT,AL,36272,2054476041,0,"vol-merg,close",21nov1991,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,47,47,1993
010021,DALE MEDICAL CENTER,100 HOSPITAL AVENUE,OZARK,AL,36360,2057742601,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,89,89,1993
010022,BAPTIST MEDICAL CENTER CHEROKEE,400 NORTHWOOD DR,CENTRE,AL,35960,2059275531,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,60,60,1993
010023,BAPTIST MEDICAL CENTER,2105 E SOUTH BLVD,MONTGOMERY,AL,36116,2052882100,1,active,,01jul1966,,no affiliation,0,1,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,454,454,1993
010024,JACKSON HOSPITAL & CLINIC INC,1235 FOREST AVENUE,MONTGOMERY,AL,36106,2052938000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,409,409,1993
010025,GEORGE H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,2057563111,1,active,,01jul1976,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,117,117,1993
010026,COLUMBIA REGIONAL MEDICAL CENTER,200 HILLCREST DR,ANDALUSIA,AL,36420,2052224141,0,"vol-merg,close",31dec1988,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,89,89,1993
010027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET P O DRAWER G,ELBA,AL,36323,2058972257,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,25,25,1993
010028,GUNTERSVILLE HOSPITAL,2067 GUNTER AVE BOX 340,GUNTERSVILLE,AL,35976,2055829194,0,"vol-merg,close",13jan1990,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,58,58,1993
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36802,2057493411,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,334,334,1993
010030,CHAMBERS COUNTY HOSPITAL,404 9TH AVENUE S W,LAFAYETTE,AL,36862,2058648844,0,"vol-merg,close",15dec1988,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,38,38,1993
010031,PHENIX MEDICAL PARK HOSPITAL,1707 21ST AVE,PHENIX CITY,AL,36867,2052918000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,290,290,1993
